Draw Date,Winning Numbers,Multiplier
2025-08-13,04 11 40 44 50 04,3.0
2025-08-11,06 16 33 40 62 02,2.0
2025-08-09,07 14 23 24 60 14,2.0
2025-08-06,15 27 43 45 53 09,2.0
2025-08-04,08 09 19 31 38 21,2.0
2025-08-02,06 18 34 35 36 02,2.0
2025-07-30,04 15 35 50 64 08,4.0
2025-07-28,07 35 36 43 62 03,3.0
2025-07-26,08 31 57 65 67 23,3.0
2025-07-23,02 18 19 25 35 25,3.0
2025-07-21,08 11 28 33 42 02,2.0
2025-07-19,28 48 51 61 69 20,3.0
2025-07-16,04 21 43 48 49 22,2.0
2025-07-14,08 12 45 46 63 24,2.0
2025-07-12,08 16 24 33 54 18,2.0
2025-07-09,05 09 25 28 69 05,2.0
2025-07-07,33 35 58 61 69 25,5.0
2025-07-05,01 28 34 50 58 08,2.0
2025-07-02,07 19 21 54 63 21,2.0
2025-06-30,13 28 44 52 55 06,4.0
2025-06-28,04 35 43 52 62 12,2.0
2025-06-25,02 12 37 51 61 22,3.0
2025-06-23,05 25 42 44 65 20,3.0
2025-06-21,03 16 32 52 62 24,3.0
2025-06-18,23 29 50 64 67 11,2.0
2025-06-16,17 21 23 27 52 19,5.0
2025-06-14,04 06 09 23 59 25,3.0
2025-06-11,13 25 29 37 53 03,2.0
2025-06-09,30 33 40 43 52 25,4.0
2025-06-07,31 36 43 48 62 25,2.0
2025-06-04,05 17 23 35 45 24,10.0
2025-06-02,01 07 44 57 61 21,3.0
2025-05-31,01 29 37 56 68 13,2.0
2025-05-28,23 27 32 35 59 11,2.0
2025-05-26,13 47 52 64 67 25,2.0
2025-05-24,12 18 28 48 52 05,3.0
2025-05-21,09 29 31 34 43 02,2.0
2025-05-19,13 14 37 50 60 11,2.0
2025-05-17,07 34 40 42 52 15,2.0
2025-05-14,04 10 24 29 53 04,3.0
2025-05-12,15 16 41 48 60 21,3.0
2025-05-10,05 20 28 39 42 13,2.0
2025-05-07,14 15 30 40 59 20,3.0
2025-05-05,16 34 40 45 66 19,2.0
2025-05-03,10 21 23 35 65 24,2.0
2025-04-30,01 02 03 57 59 09,2.0
2025-04-28,26 43 51 56 60 24,4.0
2025-04-26,01 12 14 18 69 02,3.0
2025-04-23,15 44 63 66 69 20,2.0
2025-04-21,04 33 45 46 51 25,3.0
2025-04-19,07 25 37 39 63 01,3.0
2025-04-16,20 24 42 43 49 19,3.0
2025-04-14,03 20 30 52 62 01,3.0
2025-04-12,16 22 44 45 53 19,2.0
2025-04-09,04 29 37 55 67 10,4.0
2025-04-07,20 23 48 59 66 04,2.0
2025-04-05,04 23 30 46 62 02,4.0
2025-04-02,05 17 41 64 69 01,2.0
2025-03-31,12 41 44 52 64 25,2.0
2025-03-29,07 11 21 53 61 02,3.0
2025-03-26,05 20 29 39 53 06,3.0
2025-03-24,06 23 35 36 47 12,2.0
2025-03-22,06 07 25 46 57 12,3.0
2025-03-19,08 11 21 49 59 15,2.0
2025-03-17,11 18 23 38 60 09,2.0
2025-03-15,12 28 33 36 54 05,3.0
2025-03-12,11 13 28 51 58 01,2.0
2025-03-10,17 40 47 50 55 06,2.0
2025-03-08,02 04 16 23 63 13,3.0
2025-03-05,24 28 40 63 65 20,3.0
2025-03-03,18 20 50 52 56 20,2.0
2025-03-01,02 23 36 44 49 25,3.0
2025-02-26,28 48 55 60 62 20,2.0
2025-02-24,10 11 34 59 68 14,3.0
2025-02-22,07 18 22 50 65 15,2.0
2025-02-19,06 21 28 49 60 20,2.0
2025-02-17,04 44 47 52 57 09,4.0
2025-02-15,03 16 45 54 56 12,2.0
2025-02-12,21 32 36 45 49 18,2.0
2025-02-10,02 17 18 29 43 03,3.0
2025-02-08,23 44 57 60 62 09,2.0
2025-02-05,19 27 30 50 62 14,3.0
2025-02-03,12 37 47 54 60 17,3.0
2025-02-01,23 29 32 49 61 08,2.0
2025-01-29,08 12 31 33 38 18,3.0
2025-01-27,02 40 47 53 55 20,2.0
2025-01-25,08 15 17 53 66 14,3.0
2025-01-22,05 06 27 40 49 05,2.0
2025-01-20,15 16 32 47 54 06,3.0
2025-01-18,14 31 35 64 69 23,2.0
2025-01-15,08 41 52 53 58 07,3.0
2025-01-13,04 06 16 39 66 09,2.0
2025-01-11,03 06 32 37 65 04,3.0
2025-01-08,01 20 36 38 43 24,2.0
2025-01-06,17 34 46 66 67 14,2.0
2025-01-04,26 32 43 54 56 24,2.0
2025-01-01,06 12 28 35 66 26,3.0
2024-12-30,09 19 33 38 39 01,3.0
2024-12-28,06 31 51 54 55 12,2.0
2024-12-25,15 26 27 30 35 03,3.0
2024-12-23,22 42 44 57 64 18,2.0
2024-12-21,01 12 17 21 58 01,3.0
2024-12-18,06 15 18 33 49 07,2.0
2024-12-16,09 30 33 57 61 17,2.0
2024-12-14,12 17 23 52 67 01,2.0
2024-12-11,13 44 50 52 54 20,2.0
2024-12-09,35 37 40 45 51 24,2.0
2024-12-07,01 31 43 55 57 22,2.0
2024-12-04,01 23 25 28 61 13,2.0
2024-12-02,03 09 26 61 67 13,2.0
2024-11-30,04 24 29 39 63 25,4.0
2024-11-27,01 06 07 13 40 05,5.0
2024-11-25,05 35 45 60 63 12,2.0
2024-11-23,12 13 34 44 67 08,3.0
2024-11-20,16 30 60 62 64 25,3.0
2024-11-18,27 31 41 52 69 26,3.0
2024-11-16,21 22 25 32 38 16,5.0
2024-11-13,09 20 26 43 58 09,2.0
2024-11-11,03 21 24 34 46 09,3.0
2024-11-09,11 24 50 56 66 16,2.0
2024-11-06,12 17 37 58 62 04,2.0
2024-11-04,06 18 33 48 53 21,10.0
2024-11-02,10 45 48 58 61 02,3.0
2024-10-30,13 22 29 43 58 22,3.0
2024-10-28,21 27 32 48 67 17,2.0
2024-10-26,08 12 40 45 51 15,2.0
2024-10-23,02 15 27 29 39 20,2.0
2024-10-21,01 25 57 62 64 15,2.0
2024-10-19,07 16 19 45 64 25,3.0
2024-10-16,04 30 39 44 60 11,2.0
2024-10-14,14 18 33 64 67 14,2.0
2024-10-12,05 14 20 41 57 06,3.0
2024-10-09,25 32 43 53 66 10,3.0
2024-10-07,18 30 31 52 63 22,2.0
2024-10-05,02 12 46 52 65 03,2.0
2024-10-02,01 02 21 37 43 21,3.0
2024-09-30,09 11 30 43 69 20,2.0
2024-09-28,03 11 13 24 39 22,3.0
2024-09-25,02 26 45 46 52 21,2.0
2024-09-23,15 21 25 37 45 19,3.0
2024-09-21,17 19 21 37 45 14,2.0
2024-09-18,01 11 22 47 68 07,4.0
2024-09-16,08 09 11 27 31 17,5.0
2024-09-14,29 34 38 48 56 16,2.0
2024-09-11,10 12 55 65 67 03,3.0
2024-09-09,01 16 21 47 60 05,3.0
2024-09-07,14 34 37 55 63 20,2.0
2024-09-04,07 10 21 33 59 20,3.0
2024-09-02,08 42 46 48 53 22,3.0
2024-08-31,04 34 35 38 69 19,2.0
2024-08-28,05 33 47 50 64 20,2.0
2024-08-26,02 04 23 68 69 15,3.0
2024-08-24,05 15 21 24 43 17,3.0
2024-08-21,27 31 33 38 67 03,2.0
2024-08-19,01 02 15 23 28 10,2.0
2024-08-17,12 31 43 45 46 22,5.0
2024-08-14,08 09 23 29 62 13,2.0
2024-08-12,09 22 57 67 68 14,3.0
2024-08-10,09 24 33 64 69 09,2.0
2024-08-07,06 19 35 47 57 09,3.0
2024-08-05,29 42 44 51 54 12,2.0
2024-08-03,13 33 40 60 61 20,3.0
2024-07-31,23 34 37 50 58 07,2.0
2024-07-29,11 27 30 33 44 16,3.0
2024-07-27,03 31 37 40 64 17,3.0
2024-07-24,16 42 59 63 68 13,2.0
2024-07-22,31 36 56 58 69 20,2.0
2024-07-20,18 25 31 40 57 04,3.0
2024-07-17,24 27 32 47 66 26,2.0
2024-07-15,09 31 39 40 45 23,3.0
2024-07-13,09 55 59 66 69 21,2.0
2024-07-10,07 11 12 27 46 26,3.0
2024-07-08,20 22 31 33 45 01,3.0
2024-07-06,05 32 35 39 49 21,2.0
2024-07-03,02 26 33 55 57 22,2.0
2024-07-01,05 09 32 39 55 09,2.0
2024-06-29,26 51 54 61 69 25,3.0
2024-06-26,04 09 36 47 56 07,5.0
2024-06-24,05 06 36 53 69 08,2.0
2024-06-22,04 05 15 32 62 21,2.0
2024-06-19,04 27 44 50 64 07,3.0
2024-06-17,30 48 53 58 66 09,2.0
2024-06-15,04 36 48 54 56 02,3.0
2024-06-12,19 30 31 61 62 21,2.0
2024-06-10,03 10 33 58 59 09,2.0
2024-06-08,08 38 52 54 64 15,3.0
2024-06-05,08 44 45 51 69 12,3.0
2024-06-03,19 29 35 36 45 16,2.0
2024-06-01,28 38 52 54 68 08,2.0
2024-05-29,17 34 56 60 61 09,2.0
2024-05-27,09 30 39 49 59 21,5.0
2024-05-25,06 33 35 36 64 24,3.0
2024-05-22,05 16 18 26 67 04,3.0
2024-05-20,01 07 48 64 68 05,2.0
2024-05-18,19 36 37 42 59 19,2.0
2024-05-15,19 42 45 55 69 06,2.0
2024-05-13,05 14 29 38 66 01,2.0
2024-05-11,03 06 39 49 67 21,2.0
2024-05-08,07 41 43 44 51 05,2.0
2024-05-06,07 23 24 56 60 25,2.0
2024-05-04,14 20 23 53 69 04,2.0
2024-05-01,01 11 19 21 68 15,2.0
2024-04-29,11 38 47 67 69 14,2.0
2024-04-27,09 30 53 55 62 23,3.0
2024-04-24,02 20 22 26 47 21,4.0
2024-04-22,12 16 33 39 52 01,2.0
2024-04-20,04 35 41 44 58 25,3.0
2024-04-17,24 29 44 47 54 02,2.0
2024-04-15,07 16 41 56 61 23,3.0
2024-04-13,07 33 40 43 69 10,5.0
2024-04-10,06 07 12 24 36 15,2.0
2024-04-08,06 21 23 39 54 23,2.0
2024-04-06,22 27 44 52 69 09,3.0
2024-04-03,11 38 41 62 65 15,3.0
2024-04-01,19 24 40 42 56 23,2.0
2024-03-30,12 13 33 50 52 23,3.0
2024-03-27,37 46 57 60 66 08,2.0
2024-03-25,07 11 19 53 68 23,2.0
2024-03-23,06 23 25 34 51 03,2.0
2024-03-20,13 22 27 54 66 09,2.0
2024-03-18,10 17 20 39 44 16,3.0
2024-03-16,12 23 44 57 61 05,2.0
2024-03-13,21 29 54 59 62 04,2.0
2024-03-11,01 03 07 16 66 05,5.0
2024-03-09,30 36 49 52 63 16,5.0
2024-03-06,06 19 28 44 60 10,2.0
2024-03-04,36 42 50 52 67 26,2.0
2024-03-02,03 18 27 36 53 12,2.0
2024-02-28,16 26 29 38 50 06,2.0
2024-02-26,24 29 42 51 54 16,3.0
2024-02-24,03 08 40 53 58 03,3.0
2024-02-21,04 27 33 41 42 14,2.0
2024-02-19,04 23 45 50 53 17,3.0
2024-02-17,06 28 59 62 69 21,3.0
2024-02-14,01 04 45 47 67 18,2.0
2024-02-12,17 36 43 53 67 14,2.0
2024-02-10,27 28 34 37 44 08,2.0
2024-02-07,12 21 62 67 69 17,3.0
2024-02-05,01 02 27 30 67 09,5.0
2024-02-03,09 11 27 59 66 19,3.0
2024-01-31,15 18 19 41 43 14,2.0
2024-01-29,39 41 43 49 64 04,2.0
2024-01-27,07 38 65 66 68 21,2.0
2024-01-24,01 05 32 50 64 08,4.0
2024-01-22,24 25 43 52 63 21,2.0
2024-01-20,16 31 34 47 65 10,3.0
2024-01-17,18 22 43 61 65 02,4.0
2024-01-15,13 30 35 49 59 04,3.0
2024-01-13,13 31 33 51 58 15,2.0
2024-01-10,25 40 43 48 50 11,2.0
2024-01-08,07 17 28 40 45 02,3.0
2024-01-06,04 31 34 38 61 13,2.0
2024-01-03,30 31 38 48 68 08,10.0
2024-01-01,12 21 42 44 49 01,3.0
2023-12-30,10 11 26 27 34 07,4.0
2023-12-27,04 11 38 51 68 05,3.0
2023-12-25,05 12 20 24 29 04,2.0
2023-12-23,09 14 17 18 53 06,3.0
2023-12-20,27 35 41 56 60 16,2.0
2023-12-18,05 08 19 34 39 26,3.0
2023-12-16,03 09 10 20 62 25,3.0
2023-12-13,03 08 41 56 64 18,2.0
2023-12-11,01 24 27 31 62 20,3.0
2023-12-09,05 25 26 40 60 01,2.0
2023-12-06,02 12 37 56 65 21,3.0
2023-12-04,18 19 27 28 45 09,3.0
2023-12-02,28 35 41 47 60 03,2.0
2023-11-29,06 47 50 61 68 04,2.0
2023-11-27,02 21 38 61 66 12,2.0
2023-11-25,27 33 63 66 68 09,2.0
2023-11-22,20 24 33 39 42 21,2.0
2023-11-20,19 26 30 39 63 13,2.0
2023-11-18,34 50 51 61 67 20,2.0
2023-11-15,03 04 51 53 60 06,3.0
2023-11-13,24 33 35 37 42 21,2.0
2023-11-11,01 12 14 24 57 07,4.0
2023-11-08,14 21 33 39 62 20,2.0
2023-11-06,12 25 40 59 61 26,2.0
2023-11-04,01 28 30 34 52 06,2.0
2023-11-01,22 26 39 47 63 12,3.0
2023-10-30,19 22 34 66 69 05,3.0
2023-10-28,14 24 50 59 64 02,2.0
2023-10-25,25 27 41 53 68 02,2.0
2023-10-23,18 21 25 46 64 21,5.0
2023-10-21,06 15 24 67 68 11,2.0
2023-10-18,01 04 13 35 58 24,2.0
2023-10-16,02 27 31 44 64 18,3.0
2023-10-14,14 16 42 48 64 14,2.0
2023-10-11,22 24 40 52 64 10,2.0
2023-10-09,16 34 46 55 67 14,3.0
2023-10-07,47 54 57 60 65 19,3.0
2023-10-04,09 35 54 63 64 01,2.0
2023-10-02,12 26 27 43 47 05,2.0
2023-09-30,19 30 37 44 46 22,2.0
2023-09-27,01 07 46 47 63 07,3.0
2023-09-25,10 12 22 36 50 04,2.0
2023-09-23,01 12 20 33 66 21,2.0
2023-09-20,16 27 59 62 63 23,3.0
2023-09-18,02 21 26 40 42 09,3.0
2023-09-16,08 11 19 24 46 05,2.0
2023-09-13,22 30 37 44 45 18,3.0
2023-09-11,09 25 27 53 66 05,2.0
2023-09-09,11 19 29 63 68 25,2.0
2023-09-06,09 14 20 23 63 01,3.0
2023-09-04,01 26 32 46 51 13,3.0
2023-09-02,25 38 42 66 67 19,4.0
2023-08-30,04 13 35 61 69 04,2.0
2023-08-28,04 06 25 55 68 26,2.0
2023-08-26,20 22 26 28 63 05,3.0
2023-08-23,25 30 32 33 55 20,2.0
2023-08-21,03 04 12 22 28 16,2.0
2023-08-19,01 25 27 38 62 13,2.0
2023-08-16,09 11 17 19 55 01,2.0
2023-08-14,32 34 37 39 47 03,2.0
2023-08-12,19 21 37 50 65 26,2.0
2023-08-09,10 15 21 67 69 03,2.0
2023-08-07,06 13 20 35 54 22,2.0
2023-08-05,18 42 44 62 65 23,2.0
2023-08-02,23 24 33 51 64 05,2.0
2023-07-31,02 11 48 58 65 13,2.0
2023-07-29,10 25 27 34 38 02,3.0
2023-07-26,03 16 40 48 60 14,2.0
2023-07-24,03 04 12 28 49 25,2.0
2023-07-22,25 27 36 37 63 07,2.0
2023-07-19,07 10 11 13 24 24,2.0
2023-07-17,05 08 09 17 41 21,4.0
2023-07-15,02 09 43 55 57 18,2.0
2023-07-12,23 35 45 66 67 20,3.0
2023-07-10,02 24 34 53 58 13,2.0
2023-07-08,07 23 24 32 43 18,2.0
2023-07-05,17 24 48 62 68 23,2.0
2023-07-03,15 26 31 38 61 03,3.0
2023-07-01,04 17 35 49 61 08,2.0
2023-06-28,19 25 34 57 68 04,5.0
2023-06-26,06 28 39 43 54 12,4.0
2023-06-24,02 38 44 50 62 19,3.0
2023-06-21,05 11 33 35 63 14,2.0
2023-06-19,36 39 52 57 69 01,3.0
2023-06-17,02 12 45 61 64 26,2.0
2023-06-14,03 20 36 42 64 04,2.0
2023-06-12,02 03 16 23 68 07,2.0
2023-06-10,21 32 42 46 50 04,3.0
2023-06-07,16 21 29 53 66 02,5.0
2023-06-05,02 31 45 46 49 20,2.0
2023-06-03,15 45 64 67 68 18,2.0
2023-05-31,02 04 54 61 62 14,3.0
2023-05-29,21 33 35 62 64 24,2.0
2023-05-27,24 38 39 48 56 04,2.0
2023-05-24,12 21 44 50 58 26,3.0
2023-05-22,09 38 48 52 68 25,4.0
2023-05-20,17 23 32 38 63 23,2.0
2023-05-17,18 34 37 45 51 14,2.0
2023-05-15,01 26 28 55 58 25,2.0
2023-05-13,03 15 20 23 46 11,2.0
2023-05-10,21 24 33 55 69 03,10.0
2023-05-08,15 20 33 36 43 12,2.0
2023-05-06,31 39 47 51 53 06,2.0
2023-05-03,21 26 30 45 47 23,3.0
2023-05-01,03 38 55 61 66 01,3.0
2023-04-29,16 53 54 57 65 08,2.0
2023-04-26,02 15 30 35 49 06,2.0
2023-04-24,19 21 55 66 68 03,2.0
2023-04-22,17 36 47 63 68 25,2.0
2023-04-19,04 11 21 38 64 11,3.0
2023-04-17,23 25 35 63 64 25,3.0
2023-04-15,01 33 34 56 59 18,3.0
2023-04-12,09 36 41 44 59 04,2.0
2023-04-10,09 10 36 46 52 14,2.0
2023-04-08,11 22 24 51 60 18,3.0
2023-04-05,03 05 09 42 52 11,2.0
2023-04-03,16 30 31 54 68 01,2.0
2023-04-01,11 19 21 29 52 17,4.0
2023-03-29,04 09 24 46 66 07,3.0
2023-03-27,19 26 36 43 58 14,3.0
2023-03-25,15 17 18 47 57 19,2.0
2023-03-22,27 28 37 50 57 05,2.0
2023-03-20,01 27 32 47 67 14,2.0
2023-03-18,14 20 30 54 69 11,2.0
2023-03-15,16 18 33 37 50 08,2.0
2023-03-13,03 10 24 46 63 04,2.0
2023-03-11,11 20 33 43 58 24,2.0
2023-03-08,26 27 43 61 69 04,3.0
2023-03-06,02 13 29 58 69 04,3.0
2023-03-04,10 16 18 40 66 16,3.0
2023-03-01,02 09 28 36 53 04,2.0
2023-02-27,16 28 49 51 55 23,2.0
2023-02-25,11 24 58 66 67 26,3.0
2023-02-22,11 19 39 44 65 07,2.0
2023-02-20,03 17 26 38 54 15,3.0
2023-02-18,08 21 31 32 37 23,4.0
2023-02-15,31 32 54 60 63 12,4.0
2023-02-13,17 26 37 61 65 02,2.0
2023-02-11,10 23 30 54 65 11,4.0
2023-02-08,52 58 59 64 66 09,2.0
2023-02-06,05 11 22 23 69 07,2.0
2023-02-04,02 08 15 19 58 10,2.0
2023-02-01,31 43 58 59 66 09,2.0
2023-01-30,01 04 12 36 49 05,2.0
2023-01-28,02 18 23 27 47 15,4.0
2023-01-25,09 17 20 38 40 18,2.0
2023-01-23,12 31 47 58 60 23,3.0
2023-01-21,05 14 19 46 64 22,4.0
2023-01-18,06 15 22 42 47 26,3.0
2023-01-16,04 14 33 39 61 03,3.0
2023-01-14,24 26 39 47 57 23,2.0
2023-01-11,04 08 46 47 48 05,3.0
2023-01-09,18 43 48 60 69 14,3.0
2023-01-07,35 36 44 45 67 14,3.0
2023-01-04,12 32 56 67 68 26,3.0
2023-01-02,07 09 12 31 62 22,2.0
2022-12-31,18 37 44 50 64 11,3.0
2022-12-28,26 32 38 45 56 01,2.0
2022-12-26,17 41 47 60 61 17,3.0
2022-12-24,17 37 46 54 67 08,3.0
2022-12-21,12 15 24 34 59 14,2.0
2022-12-19,07 37 55 65 67 12,5.0
2022-12-17,33 56 64 66 68 12,2.0
2022-12-14,36 51 59 66 68 25,10.0
2022-12-12,16 31 50 55 61 09,4.0
2022-12-10,09 23 47 49 68 19,2.0
2022-12-07,06 28 44 59 61 21,2.0
2022-12-05,35 45 47 54 55 14,2.0
2022-12-03,06 13 33 36 37 07,4.0
2022-11-30,04 19 24 47 66 10,2.0
2022-11-28,29 30 32 48 50 20,2.0
2022-11-26,15 30 47 50 51 03,10.0
2022-11-23,01 02 31 39 66 25,2.0
2022-11-21,01 06 40 51 67 02,2.0
2022-11-19,07 28 62 63 64 10,3.0
2022-11-16,28 34 51 53 56 11,2.0
2022-11-14,19 35 53 54 67 21,2.0
2022-11-12,16 20 44 57 58 06,4.0
2022-11-09,07 14 24 30 56 07,2.0
2022-11-05,28 45 53 56 69 20,3.0
2022-11-02,02 11 22 35 60 23,2.0
2022-10-31,13 19 36 39 59 13,3.0
2022-10-29,19 31 40 46 57 23,3.0
2022-10-26,19 36 37 46 56 24,2.0
2022-10-24,18 23 35 45 54 16,4.0
2022-10-22,19 25 48 55 60 18,2.0
2022-10-19,06 08 15 27 42 10,3.0
2022-10-17,19 30 36 46 60 25,3.0
2022-10-15,32 37 40 58 62 15,5.0
2022-10-12,14 30 41 42 59 06,5.0
2022-10-10,03 06 11 17 22 11,2.0
2022-10-08,13 43 53 60 68 05,2.0
2022-10-05,26 30 33 37 62 06,2.0
2022-10-03,02 16 22 55 63 22,4.0
2022-10-01,08 21 22 65 69 26,2.0
2022-09-28,06 10 24 33 67 11,3.0
